"...1","object_id","city","county","region","development","locality","on_road","rural_urban","speed_limit","traffic_control","weather","workzone","bike_age","bike_age_group","bike_alcohol","bike_alcohol_drugs","bike_direction","bike_injury","bike_position","bike_race","bike_sex","driver_age","driver_age_group","driver_alcohol","driver_alcohol_drugs","driver_est_speed","driver_injury","driver_race","driver_sex","driver_vehicle_type","crash_alcohol","crash_date","crash_day","crash_group","crash_hour","crash_location","crash_month","crash_severity","crash_time","crash_type","crash_year","ambulance_req","hit_run","light_condition","road_character","road_class","road_condition","road_configuration","road_defects","road_feature","road_surface","num_bikes_ai","num_bikes_bi","num_bikes_ci","num_bikes_ki","num_bikes_no","num_bikes_to","num_bikes_ui","num_lanes","num_units","distance_mi_from","frm_road","rte_invd_cd","towrd_road"
21,2453,"Raleigh","Wake","Piedmont","Residential","Urban (>70% Developed)",NA,"Urban","30 - 35  MPH","Stop And Go Signal","Clear","No",26,"25-29","No",NA,"With Traffic","C: Possible Injury","Sidewalk / Crosswalk / Driveway Crossing","White","Male",26,"25-29","No",NA,"31-35 mph","O: No Injury","White","Male","Passenger Car","No","20SEP2012","Thursday","Motorist Failed to Yield - Signalized Intersection",9,"Intersection","September","C: Possible Injury",32400,"Motorist Drive Out - Signalized Intersection",2012,"No","No","Daylight","Straight - Level","Local Street","Dry","Two-Way, Not Divided","None","No Special Feature","Concrete",0,0,0,0,0,0,0,"2 lanes",2,0,NA,0,NA
22,2427,"None - Rural Crash","Harnett","Coastal","Farms, Woods, Pastures","Mixed (30% To 70% Developed)",NA,"Rural","50 - 55  MPH","No Control Present","Clear","No",61,"60-69","No",NA,"With Traffic","K: Killed","Travel Lane","Black","Male",22,"20-24","No",NA,"46-50 mph","O: No Injury","White","Male","Pickup","No","10SEP2012","Monday","Bicyclist Left Turn / Merge",20,"Non-Intersection","September","K: Killed",73440,"Bicyclist Left Turn - Same Direction",2012,"Yes","Yes","Dark - Roadway Not Lighted","Straight - Level","State Secondary Route","Dry","Two-Way, Not Divided","None","No Special Feature","Coarse Asphalt",0,0,0,0,0,0,0,"2 lanes",2,0,NA,0,NA
23,2429,"Smithfield","Johnston","Coastal","Commercial","Urban (>70% Developed)",NA,"Urban","40 - 45  MPH","No Control Present","Clear","No",54,"50-59","No",NA,"With Traffic","C: Possible Injury","Bike Lane / Paved Shoulder","Black","Male",65,"60-69","No",NA,"6-10 mph","O: No Injury","White","Male","Sport Utility","No","12SEP2012","Wednesday","Motorist Left Turn / Merge",11,"Non-Intersection","September","C: Possible Injury",43080,"Motorist Left Turn - Same Direction",2012,"Yes","No","Daylight","Straight - Level","US Route","Dry","Two-Way, Not Divided","None","No Special Feature","Coarse Asphalt",0,0,0,0,0,0,0,"3 lanes",2,0,NA,0,NA
24,2452,"Durham","Durham","Piedmont","Residential","Urban (>70% Developed)",NA,"Urban","30 - 35  MPH","No Control Present","Clear","No",9,"6-10","No",NA,"Not Applicable","C: Possible Injury","Non-Roadway","Black","Male",23,"20-24","No",NA,"21-25 mph","O: No Injury","Black","Male","Passenger Car","No","25SEP2012","Tuesday","Bicyclist Failed to Yield - Midblock",18,"Non-Intersection","September","C: Possible Injury",67980,"Bicyclist Ride Out - Other Midblock",2012,"Yes","No","Daylight","Straight - Level","Local Street","Dry","Two-Way, Not Divided","None","No Special Feature","Smooth Asphalt",0,0,0,0,0,0,0,"2 lanes",2,0,NA,0,NA
25,2451,"Raleigh","Wake","Piedmont","Institutional","Urban (>70% Developed)",NA,"Urban","30 - 35  MPH","Stop And Go Signal","Clear","No",36,"30-39","No",NA,"With Traffic","O: No Injury","Travel Lane","White","Female",21,"20-24","No",NA,"16-20 mph","O: No Injury","White","Male","Passenger Car","No","24SEP2012","Monday","Motorist Left Turn / Merge",8,"Intersection","September","O: No Injury",30120,"Motorist Left Turn - Opposite Direction",2012,"No","No","Daylight","Straight - Level","Local Street","Dry","Two-Way, Divided, Unprotected Median","None","No Special Feature","Smooth Asphalt",0,0,0,0,0,0,0,"8 lanes",2,0,NA,0,NA
26,2422,"Fairmont","Robeson","Coastal","Residential","Mixed (30% To 70% Developed)",NA,"Rural","30 - 35  MPH","No Control Present","Cloudy","No",15,"11-15","No",NA,"With Traffic","B: Evident Injury","Travel Lane","Black","Male",52,"50-59","No",NA,"31-35 mph","O: No Injury","Black","Male","Van","No","06AUG2012","Monday","Bicyclist Left Turn / Merge",17,"Non-Intersection","August","B: Evident Injury",63240,"Bicyclist Left Turn - Same Direction",2012,"Yes","No","Daylight","Straight - Level","Local Street","Wet","Two-Way, Not Divided","Road Surface Condition","No Special Feature","Gravel",0,0,0,0,0,0,0,"2 lanes",2,0,NA,0,NA
27,2447,"Raleigh","Wake","Piedmont","Commercial","Urban (>70% Developed)",NA,"Urban","30 - 35  MPH","No Control Present","Clear","No",29,"25-29","No",NA,"Facing Traffic","B: Evident Injury","Travel Lane","White","Female",44,"40-49","No",NA,"6-10 mph","O: No Injury","Other","Male","Taxicab","No","21SEP2012","Friday","Motorist Left Turn / Merge",6,"Non-Intersection","September","B: Evident Injury",22740,"Motorist Left Turn - Opposite Direction",2012,"Yes","No","Dusk","Straight - Grade","Local Street","Dry","Two-Way, Not Divided","None","No Special Feature","Coarse Asphalt",0,0,0,0,0,0,0,"5 lanes",2,0,NA,0,NA
28,2441,"Durham","Durham","Piedmont","Commercial","Urban (>70% Developed)",NA,"Urban","30 - 35  MPH","Stop And Go Signal","Clear","No",28,"25-29","No",NA,"With Traffic","C: Possible Injury","Travel Lane","White","Female",49,"40-49","No",NA,"6-10 mph","O: No Injury","Black","Female","Passenger Car","No","23SEP2012","Sunday","Motorist Left Turn / Merge",9,"Intersection","September","C: Possible Injury",34980,"Motorist Left Turn - Opposite Direction",2012,"Yes","No","Daylight","Curve - Grade","Local Street","Dry","Two-Way, Not Divided","None","T-Intersection","Smooth Asphalt",0,0,0,0,0,0,0,"2 lanes",2,0,NA,0,NA
29,2483,"None - Rural Crash","Rutherford","Mountains","Farms, Woods, Pastures","Rural (<30% Developed)",NA,"Rural","60 - 75 MPH","No Control Present","Rain","No",24,"20-24","No",NA,"With Traffic","B: Evident Injury","Bike Lane / Paved Shoulder","White","Male",37,"30-39","No",NA,"56-60 mph","O: No Injury","White","Male","Tractor/Semi-Trailer","No","01OCT2012","Monday","Motorist Overtaking Bicyclist",11,"Non-Intersection","October","B: Evident Injury",42420,"Motorist Overtaking - Other / Unknown",2012,"Yes","No","Daylight","Straight - Level","US Route","Wet","Two-Way, Divided, Positive Median Barrier","None","No Special Feature","Coarse Asphalt",0,0,0,0,0,0,0,"4 lanes",2,0,NA,0,NA
30,2480,"Gastonia","Gaston","Piedmont","Residential","Urban (>70% Developed)",NA,"Urban","30 - 35  MPH","Double Yellow Line, No Passing Zone","Clear","No",18,"16-19","No",NA,"With Traffic","C: Possible Injury","Travel Lane","White","Male",29,"25-29","No",NA,"31-35 mph","O: No Injury","Black","Male","Passenger Car","No","15SEP2012","Saturday","Bicyclist Failed to Yield - Sign-Controlled Intersection",13,"Intersection","September","C: Possible Injury",46920,"Bicyclist Ride Through - Sign-Controlled Intersection",2012,"Yes","No","Daylight","Straight - Level","Local Street","Dry","Two-Way, Not Divided","None","T-Intersection","Smooth Asphalt",0,0,0,0,0,0,0,"3 lanes",2,0,NA,0,NA
31,2479,"Wilson","Wilson","Coastal","Residential","Urban (>70% Developed)",NA,"Urban","40 - 45  MPH","No Control Present","Clear","No",34,"30-39","No",NA,"With Traffic","B: Evident Injury","Travel Lane","Black","Male",NA,NA,"No",NA,"26-30 mph","Unknown Injury","Unknown/Missing",NA,NA,"No","30AUG2012","Thursday","Motorist Overtaking Bicyclist",23,"Non-Intersection","August","B: Evident Injury",84300,"Motorist Overtaking - Other / Unknown",2012,"Yes","Yes","Dark - Lighted Roadway","Curve - Grade","Local Street","Dry","Two-Way, Divided, Unprotected Median","None","No Special Feature","Coarse Asphalt",0,0,0,0,0,0,0,"2 lanes",2,0,NA,0,NA
32,2467,"Wilson","Wilson","Coastal","Residential","Urban (>70% Developed)",NA,"Urban","30 - 35  MPH","Stop Sign","Clear","No",14,"11-15","No",NA,"Facing Traffic","C: Possible Injury","Travel Lane","Black","Male",47,"40-49","No",NA,"21-25 mph","O: No Injury","Black","Female","Passenger Car","No","11SEP2012","Tuesday","Bicyclist Failed to Yield - Sign-Controlled Intersection",16,"Intersection","September","C: Possible Injury",58260,"Bicyclist Ride Through - Sign-Controlled Intersection",2012,"Yes","No","Daylight","Straight - Level","Local Street","Dry","Two-Way, Not Divided","None","No Special Feature","Coarse Asphalt",0,0,0,0,0,0,0,"2 lanes",2,0,NA,0,NA
33,2496,"Apex","Wake","Piedmont","Farms, Woods, Pastures","Rural (<30% Developed)",NA,"Urban","40 - 45  MPH","No Control Present","Cloudy","No",46,"40-49","No",NA,"With Traffic","C: Possible Injury","Travel Lane","White","Male",NA,NA,"Missing",NA,"31-35 mph","Unknown Injury","Unknown/Missing",NA,"Passenger Car","No","07OCT2012","Sunday","Motorist Overtaking Bicyclist",13,"Non-Intersection","October","C: Possible Injury",47700,"Motorist Overtaking - Other / Unknown",2012,"No","Yes","Daylight","Straight - Level","Local Street","Wet","Two-Way, Not Divided","None","No Special Feature","Coarse Asphalt",0,0,0,0,0,0,0,"2 lanes",2,0,NA,0,NA
34,2469,"Sanford","Lee","Piedmont","Residential","Urban (>70% Developed)",NA,"Urban","30 - 35  MPH","No Control Present","Clear","No",9,"6-10","No",NA,"Facing Traffic","C: Possible Injury","Travel Lane","White","Male",35,"30-39","No",NA,"31-35 mph","O: No Injury","Black","Female","Sport Utility","No","14SEP2012","Friday","Crossing Paths - Other Circumstances",19,"Intersection","September","C: Possible Injury",70860,"Sign-Controlled Intersection - Other / Unknown",2012,"Yes","No","Dark - Lighted Roadway","Straight - Level","Local Street","Dry","Two-Way, Not Divided","None","No Special Feature","Coarse Asphalt",0,0,0,0,0,0,0,"4 lanes",2,0,NA,0,NA
35,2487,"Enfield","Halifax","Coastal","Residential","Mixed (30% To 70% Developed)",NA,"Rural","5 - 15 MPH","No Control Present","Clear","No",15,"11-15","No",NA,"Not Applicable","C: Possible Injury","Non-Roadway","Black","Female",27,"25-29","No",NA,"6-10 mph","O: No Injury","Black","Female","Sport Utility","No","09SEP2012","Sunday","Crossing Paths - Other Circumstances",17,"Intersection","September","C: Possible Injury",61260,"Crossing Paths - Uncontrolled Intersection",2012,"No","No","Daylight","Straight - Level","Local Street","Dry","Two-Way, Not Divided","None","Related To Intersection","Smooth Asphalt",0,0,0,0,0,0,0,"2 lanes",2,0,NA,0,NA
36,2468,"Greenville","Pitt","Coastal","Commercial","Urban (>70% Developed)",NA,"Urban","40 - 45  MPH","No Control Present","Clear","No",56,"50-59","No",NA,NA,"C: Possible Injury","Travel Lane","Black","Male",17,"0-19","No",NA,"31-35 mph","O: No Injury","White","Female","Passenger Car","No","30SEP2012","Sunday","Bicyclist Failed to Yield - Midblock",14,"Non-Intersection","September","C: Possible Injury",53280,"Multiple Threat - Midblock",2012,"Yes","No","Daylight","Straight - Level","Local Street","Dry","Two-Way, Divided, Unprotected Median","None","No Special Feature","Coarse Asphalt",0,0,0,0,0,0,0,"6 lanes",2,0,NA,0,NA
37,2466,"Durham","Durham","Piedmont","Commercial","Urban (>70% Developed)",NA,"Urban","5 - 15 MPH","No Control Present","Clear","No",58,"50-59","Yes",NA,"Not Applicable","B: Evident Injury","Non-Roadway","Black","Male",NA,NA,"Missing",NA,"0-5 mph","Unknown Injury","Unknown/Missing",NA,"Passenger Car","Yes","30SEP2012","Sunday","Non-Roadway",16,"Non-Roadway","September","B: Evident Injury",57900,"Non-Roadway",2012,"Yes","Yes","Daylight","Straight - Level","Public Vehicular Area","Dry","Two-Way, Not Divided","None","No Special Feature","Coarse Asphalt",0,0,0,0,0,0,0,"2 lanes",2,0,NA,0,NA
38,2501,"Greensboro","Guilford","Piedmont","Institutional","Urban (>70% Developed)",NA,"Urban","30 - 35  MPH","Stop And Go Signal","Clear","No",25,"25-29","No",NA,"With Traffic","B: Evident Injury","Travel Lane","White","Male",20,"20-24","No",NA,"11-15 mph","O: No Injury","Black","Female","Passenger Car","No","02OCT2012","Tuesday","Bicyclist Failed to Yield - Signalized Intersection",19,"Intersection","October","B: Evident Injury",71760,"Bicyclist Ride Through - Signalized Intersection",2012,"Yes","No","Dark - Lighted Roadway","Straight - Level","Local Street","Dry","Two-Way, Divided, Positive Median Barrier","None","Four-Way Intersection","Smooth Asphalt",0,0,0,0,0,0,0,"2 lanes",2,0,NA,0,NA
39,2538,"Cary","Wake","Piedmont","Residential","Urban (>70% Developed)",NA,"Urban","20 - 25  MPH","Stop Sign","Clear","No",21,"20-24","No",NA,"Facing Traffic","B: Evident Injury","Sidewalk / Crosswalk / Driveway Crossing","White","Female",28,"25-29","No",NA,"0-5 mph","O: No Injury","White","Female","Passenger Car","No","06OCT2012","Saturday","Motorist Failed to Yield - Sign-Controlled Intersection",15,"Intersection","October","B: Evident Injury",56700,"Motorist Drive Out - Sign-Controlled Intersection",2012,"Yes","No","Daylight","Straight - Level","Local Street","Dry","Two-Way, Divided, Unprotected Median","None","Related To Intersection","Smooth Asphalt",0,0,0,0,0,0,0,"2 lanes",2,0,NA,0,NA
